90.18	18
86.18	18
87.18	18
88.18	18
89.18	18
98.20	20
99.20	20
96.20	20
97.20	20
100.20	20
95.19	19
93.19	19
92.19	19
91.19	19
94.19	19
69.14	14
66.14	14
68.14	14
67.14	14
70.14	14
81.17	17
85.17	17
83.17	17
82.17	17
84.17	17
76.16	16
77.16	16
79.16	16
78.16	16
80.16	16
74.15	15
75.15	15
71.15	15
72.15	15
73.15	15
3.1	1
1.1	1
2.1	1
5.1	1
4.1	1
6.2	2
10.2	2
9.2	2
7.2	2
8.2	2
12.3	3
15.3	3
11.3	3
13.3	3
14.3	3
58.12	12
59.12	12
60.12	12
53.11	11
54.11	11
51.11	11
52.11	11
55.11	11
57.12	12
56.12	12
63.13	13
62.13	13
61.13	13
64.13	13
65.13	13
40.8	8
39.8	8
38.8	8
36.8	8
37.8	8
45.9	9
41.9	9
42.9	9
44.9	9
43.9	9
22.5	5
28.6	6
27.6	6
26.6	6
30.6	6
31.7	7
35.7	7
34.7	7
33.7	7
32.7	7
19.4	4
20.4	4
16.4	4
17.4	4
18.4	4
23.5	5
24.5	5
21.5	5
25.5	5
29.6	6
46.10	10
48.10	10
49.10	10
47.10	10
50.10	10
